,time,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
113,1859-06-15,288.9299,287.6989,289.14767,287.52258,287.51047,287.85272,289.55432,286.97305,289.1032,288.88217,289.27722
114,1859-07-15,290.5648,288.01065,290.16278,289.93527,289.82654,290.64096,290.18765,290.93112,291.7295,291.79132,292.4298
115,1859-08-15,290.7499,290.37573,290.5245,291.8993,290.39926,290.7292,290.8665,290.46396,291.85266,290.80917,293.0177
116,1859-09-15,288.95132,287.29443,290.2928,289.4484,289.73322,289.24606,289.9573,289.34814,290.0935,290.14554,291.2413
117,1859-10-15,285.98135,285.26578,285.92627,286.34198,286.80145,285.566,286.21286,287.49823,287.02716,287.0013,288.13428
118,1859-11-15,279.51266,282.11386,283.1042,281.35202,282.47382,282.21072,282.24884,284.15735,283.7804,282.90707,282.13257
119,1859-12-15,280.50916,279.6113,281.06873,280.56012,280.2074,281.39514,279.45563,279.727,281.77737,280.6684,281.08588
120,1860-01-15,278.5595,277.5047,278.45853,278.75455,278.8399,280.81204,275.83194,280.34683,278.70288,281.13492,280.7617
121,1860-02-14,280.7251,278.3117,279.46844,281.16385,279.03873,280.28534,280.40326,281.483,279.08417,279.14194,281.9525
122,1860-03-15,280.4431,280.64297,280.90726,282.20032,279.7271,281.21228,281.44766,282.45074,278.042,279.86734,281.0691
123,1860-04-15,279.94275,283.1529,282.10556,282.46738,282.03748,281.7586,282.52106,283.72125,280.121,282.5957,283.5005
124,1860-05-15,284.03134,284.1026,284.83823,284.67984,284.92166,284.15335,286.2978,287.23038,284.82922,285.02963,284.53506
125,1860-06-15,286.27707,289.0259,287.8225,287.61478,288.947,287.2979,289.2233,288.07373,286.91965,287.81363,288.5825
126,1860-07-15,289.4443,289.8225,289.72992,289.42987,290.424,289.40753,290.97586,291.02737,289.75577,290.22913,290.12668
127,1860-08-15,289.77664,290.62143,291.1094,289.4819,290.58307,290.02875,290.83456,291.97812,291.34363,291.1323,290.55832
128,1860-09-15,288.65735,288.27042,288.66232,289.3469,289.1622,288.89627,289.3457,288.5753,289.3949,288.6296,288.47437
129,1860-10-15,284.71353,286.58566,285.81738,285.1637,286.55655,285.82846,288.3657,287.22546,287.87527,286.9848,287.45673
130,1860-11-15,282.29245,283.66263,281.28848,283.45963,283.10757,281.28625,284.89258,284.7024,283.58267,283.332,285.50616
131,1860-12-15,281.5587,281.084,281.14548,281.2208,281.03906,280.02905,280.24973,280.9133,282.18542,278.55817,280.51093
132,1861-01-15,281.02313,280.29343,280.5118,279.74356,280.80127,279.5878,280.25366,274.8488,280.3276,280.55362,279.87048
133,1861-02-14,280.07455,281.73743,280.2982,278.5499,280.10864,281.14368,279.6495,277.8225,281.3507,281.6567,279.04837
134,1861-03-15,280.56076,280.9203,282.06866,277.15884,279.87878,282.1717,281.4919,277.4746,280.25494,280.82568,278.5218
135,1861-04-15,282.984,282.27258,283.58667,282.21533,283.70197,284.4672,283.64557,280.88736,282.60138,282.992,282.52832
136,1861-05-15,286.00925,285.90604,286.9933,284.95944,285.73547,286.10132,283.85626,285.03555,285.54523,285.69357,285.06656
137,1861-06-15,288.2007,289.0372,289.39566,287.77792,289.07425,290.00632,289.63232,287.16174,288.09708,289.26328,287.68878
138,1861-07-15,290.2623,290.0114,292.4733,290.4366,291.0426,292.94666,292.09723,289.4872,290.31226,291.1159,290.93475
139,1861-08-15,292.10416,290.38452,290.70294,291.88275,291.40955,291.2902,291.82376,290.38098,290.68317,289.32553,290.57974
140,1861-09-15,288.10626,289.91577,289.44476,288.28275,289.66846,290.89175,287.9955,288.49713,289.41617,289.5511,288.95715
141,1861-10-15,284.19388,287.88956,286.43567,286.14294,286.60544,284.23907,287.2968,284.4776,286.53104,286.9142,286.70346
142,1861-11-15,282.5251,283.06137,283.41812,283.4383,284.5362,282.74973,284.06558,282.57477,283.67484,283.40378,282.14825
143,1861-12-15,280.2126,281.55923,281.88504,280.3301,280.61148,277.3547,280.67413,281.55075,280.8645,278.94452,280.4946
144,1862-01-15,278.43564,281.53885,280.8696,278.7392,281.30023,276.36694,280.15836,278.95197,280.58456,279.7582,280.2925
145,1862-02-14,278.8956,277.97684,280.2476,281.2536,279.65494,280.99063,280.11377,281.4461,280.84357,282.28836,280.56882
