,time,r10i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p3f1,r5i1p1f1,r5i1p1f2,r5i1p3f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
32,1852-09-16,287.94030932368446,288.28966415255434,287.91425206150916,288.47728823074664,288.2816570127225,288.2761781346367,287.60371840222047,288.5779246556214,288.42939550978036,288.16006696892185,287.68203383467153,288.39527076853796,288.04917640975776,288.0849391344996,287.96351762937815,288.37027199675833,288.12155114561165,287.6260321547071,288.37002581449303,288.22258685894656,287.9868549662384,287.9055187296401,288.3479044498016
33,1852-10-16,286.9653404973516,287.15611609263357,286.82939423921107,287.38851635258504,287.22247895066556,287.19209576812995,286.59192997525616,287.6411873171639,287.6374224440488,287.1828241542093,286.6256202499989,287.35512040140554,287.23053007828514,286.9720283779679,286.8507494503836,287.40170117930955,287.0447590365244,286.6284208774788,287.3698314597211,287.18678147064395,287.0049304934849,286.91364134713075,287.285764421018
34,1852-11-16,286.0717003790982,286.20933794970915,285.9908952678703,286.3814917096603,286.35837024588324,286.1242457746654,285.93743943842554,286.53518665629167,286.6752705041995,285.9778056620643,285.64185645458366,286.3748742701856,286.2639287587038,286.0557741310069,286.0270212505755,286.4042850458745,286.1301728828452,285.6291538507433,286.3635636883631,286.2359188584224,286.10760814707817,286.0180657081003,286.2021425482314
35,1852-12-16,285.4333300689157,285.568237563223,285.2217326474751,285.79487845242966,285.7229122868011,285.6840054025702,285.2703337199171,285.74282729402165,285.8510828268797,285.21663454896395,285.19023681485334,285.94779102722987,285.68523069506875,285.626971484538,285.564761502935,285.80684487509546,285.3184216406769,285.10107222616926,285.77177244493623,285.58443111950487,285.43600096008515,285.54611109058084,285.74420166942656
36,1853-01-16,285.5889396258565,285.47375867183587,285.4851920379055,285.66244518262533,285.6176635100342,285.5916166183747,285.29957083728664,285.7819874697706,285.654668596137,285.54515069255683,285.17783774536434,286.0004992756437,285.523964893163,285.5385477500838,285.1890296574042,285.92476057308033,285.66811575551503,284.8190084750897,285.801788514287,285.5604726075423,285.5950294433097,285.4249568832925,285.51827786818137
37,1853-02-15,285.79331103430684,285.797492444402,285.96901768854804,286.16250469140283,286.006249825554,285.8839273620666,285.7268156765921,286.3718311363653,286.1248088298078,285.786061530407,285.3163759651642,286.036271556849,285.99897151915513,285.9687465618648,285.63161495578737,286.23230768736374,285.9266168637182,285.3564092060821,286.1031552848126,285.91018787708293,285.8513879111852,285.776064680076,286.05296606585085
38,1853-03-16,286.36458716510765,286.5734284289081,286.4283339843079,286.62844411652856,286.4369576294548,286.5214036686203,286.1520340992907,286.8563417455084,286.7772889931903,286.32337736484635,286.00811705845825,286.7251733174869,286.6345925139253,286.5799401506401,286.47061165745924,286.8293722277203,286.352295247993,286.2069000720332,286.81460881840695,286.5803373076374,286.51753813541546,286.56594236074125,286.6356569807175
39,1853-04-16,287.2159250633923,287.27315620367443,287.17759894553876,287.46642698905316,287.5857356338699,287.3966457865477,287.094598213541,287.6029653193582,287.371945619955,287.2758505037143,287.0322769756208,287.51840913913423,287.579594695054,287.4391416269446,287.0797757875199,287.57145695458377,287.2594326208277,286.83423807561917,287.5272424500036,287.32164688847183,287.3777408836603,287.27140099002025,287.3997965028537
40,1853-05-16,287.98487186861587,287.95122512606696,287.9311494400117,288.210865458643,288.29175682079057,288.2221440648586,287.64826085467064,288.48751675000585,288.3005624995297,287.9865531597643,287.6990633142986,288.3683874334266,288.17264867099965,288.13435440389225,287.83347083562126,288.4343899381718,288.05004614659987,287.57655629968855,288.3570548051996,288.04333322529993,287.84872993817885,288.1873273840368,288.15627453190376
41,1853-06-16,288.8084848689005,288.57054079730915,288.49761915901274,288.9849787202675,289.05369949627595,288.6734176780015,288.5358864471561,289.23062627330694,288.89121197991517,288.7477093553301,288.33522903496214,288.9606489888191,288.76887156871646,289.00662790951753,288.5005790405889,289.13664754790636,288.7176945853095,288.44733904168396,288.99821335229956,288.8336481166632,288.62965071468847,288.94750688294283,288.8510062672759
42,1853-07-16,289.23239421256926,288.9751316674757,288.8152482972347,289.47765151393725,289.31290945022255,289.0425118476264,288.77970329026385,289.4432511312497,289.19063839170366,289.1615241431069,288.7710183163814,289.1930659756083,289.1649049189894,289.3086249910138,288.86473378036766,289.5499093010571,289.22361694813014,288.8974708373617,289.2369188115887,289.22270487889415,288.98428937257864,289.2220942057526,289.150125706604
43,1853-08-16,288.9847877924637,288.9157097593356,288.60084830517735,289.24366005090076,289.0384811929845,288.88674222131476,288.67159574003705,289.13962722159533,289.1312122956613,289.0075535887596,288.50992058106493,289.03048445622153,288.9423237981538,288.9862850943727,288.6818454395003,289.3195704876947,288.96455071619107,288.6389441520342,289.1423651372467,288.9332949545993,288.8942723722269,288.99053357745254,288.90915266695885
