,time,r101i1p1f1,r102i1p1f1,r10i1p1f1,r10i1p1f2,r10i1p3f1,r1i1p1f1,r1i1p1f2,r1i1p1f3,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p1f3,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p1f3,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p1f3,r4i1p3f1,r4i1p5f1,r5i1p1f1,r5i1p1f2,r5i1p1f3,r5i1p3f1,r6i1p1f1,r6i1p1f2,r6i1p3f1,r7i1p1f1,r7i1p1f2,r8i1p1f1,r8i1p1f2,r8i1p3f1,r9i1p1f1,r9i1p1f2,r9i1p3f1
1428,1969-01-16,285.25029222597556,285.2488942245518,285.47233714202105,284.6629919220924,285.47938814051616,285.5832505184828,285.43143645900744,284.93458744246857,285.5967555961794,285.7132418704988,285.10579057892716,285.33933436875606,285.1938845525683,285.46582734863455,285.6788319749818,285.5295408947356,285.14828867997926,285.03680576557247,285.9039165823992,285.44309802105914,285.6497281928979,285.62534478955297,285.31100237233153,285.9945742371217,286.07704329573124,285.25827729586445,284.93577994771044,285.02030762450715,285.6631885181744,285.40851155157526,285.2766863163803,285.5081958469587,285.37517249709606,285.295783605964,285.58953932978056,285.12049122614536,285.4528399168058,285.0604195697288,285.3851007329264,285.819266335965
1429,1969-02-15,285.77897587415526,285.5397284924766,285.96211542667135,285.2150250410579,285.8948077187983,285.9251238261372,285.6149503794806,285.42519111671527,285.88594483439084,286.0028174696437,285.43823957881,285.6516284011455,285.2980103839149,285.6836044422558,285.89681042265056,286.01368901681764,285.79567483073384,285.48293041544883,286.30542327103285,285.6977056838782,285.76415645552515,285.85064074510063,285.72023892967815,286.07826391744214,286.12392736443394,285.681219575784,285.10655432527244,285.3081499755234,285.8588533756307,285.79532454253405,285.368167796462,285.70811922080566,285.5951427390023,285.4916451766917,285.7303587973744,285.27005485947234,285.85646308345963,285.4444141604394,285.60645416766704,285.9184782205979
1430,1969-03-16,286.1533146825583,286.0943485738216,286.3700477499135,285.8303810447186,286.5525671760698,286.45227915127487,286.5407543346052,285.90097560857856,286.4132687175346,286.74256193451845,285.94417710972164,286.1928596017615,286.27633384774975,286.2071360971682,286.4728734077715,286.66079680500434,286.16605645042245,285.93840275744134,286.91684827541945,286.4342495332576,286.3295962662743,286.2333889431825,286.0636126243563,286.60146691574136,286.65400221195375,286.0763022691107,285.648156214723,286.29511395422725,286.6235399764845,286.34395496748056,286.1795469469839,286.6401028420888,286.1523399848625,286.1862358715594,286.5160188419324,285.86835551789096,286.4526857138964,286.01436209645743,286.2805402603266,286.70352653127026
1431,1969-04-16,287.1485694363597,287.0189137497904,287.2175836251563,286.9708058158809,287.35825699711313,287.2822522579352,287.2841540859484,286.80468348125197,287.37259311218475,287.54813685479013,287.0482614631558,287.22702818392503,287.1538638375971,287.2643433084164,287.4199829248463,287.3140873493994,286.88375058667236,286.8476578650475,287.6979624915482,287.4159034536903,287.19429850819193,287.14053919417034,287.00192896854304,287.56114195052777,287.41688999009045,287.00621791361164,286.82187672172034,287.17042890834995,287.51329164153793,287.37829327145846,286.95488016240074,287.336379680971,287.0138817920079,287.17630414871246,287.3248278553408,286.79994093510646,287.42469521529597,286.9591087300917,287.2405212413352,287.6103240383222
1432,1969-05-16,287.73231063147404,287.84782868158175,288.05265650421364,287.649082951453,288.2324044792766,288.0018288815803,288.0256897058976,287.6125989571153,288.1844178093011,288.36404537606643,287.89913850550414,288.1005134308947,287.99257847582527,287.96341916617826,288.31923586774593,288.10430567228997,287.7077759308316,287.83695757624446,288.37168716724847,288.165816795037,288.10753460302806,287.99780446520776,287.8600339813057,288.18008622915943,288.4994461657694,287.86273468756605,287.5250050900479,288.0549143519527,288.22257184592746,288.09728912548934,287.92018907504627,288.129253274076,287.69714325002053,287.9688587413698,288.14252059541855,287.4031797089562,287.88900671596855,287.6438653794447,287.8669390240078,288.5205155632793
1433,1969-06-16,288.5745432311673,288.5548840748664,288.6967799103607,288.3330115727141,288.8873696217858,288.652903945255,288.65024061435497,288.11008507961606,288.858193147811,289.03176313828504,288.4335824699637,288.6022320030439,288.55859789808767,288.66321801607654,289.00441957701105,288.71463595779693,288.44749931418517,288.4515596582902,289.0248027738333,288.89032149519784,288.70476152073957,288.5018585287773,288.5853369197518,288.7817940822755,289.0757002558134,288.62602152343067,288.2220274861239,288.6608279204542,288.96363154853293,288.7257817183214,288.568878595165,288.808712747915,288.48618277615407,288.6037541631466,288.6265157679217,288.158468430839,288.74000416709134,288.1151578092438,288.51331198702,289.09400355852927
1434,1969-07-16,288.82871085058605,288.76180184412635,289.0939071356842,288.62202344491317,289.25963463944487,289.0350467626569,288.8120620106275,288.43865419658414,289.29956692632044,289.3890737043217,288.7843350615087,288.76664650956315,288.87169169146136,289.1124124448395,289.4065319771915,289.1118606726506,288.75822960824456,288.8716835733578,289.39036361520255,289.1293081648799,288.96988514937937,288.86087291507386,288.831719405167,289.08906773243956,289.36608072402635,288.6663510113493,288.4095755746339,288.9400142519791,289.24847378246426,289.0817661565767,288.9260025138071,289.1157830489773,288.7061823553582,288.9581167392124,288.8695888023282,288.4792262298161,289.0179454493116,288.4486804186098,288.90349153735445,289.5132968667836
1435,1969-08-16,288.69029348449106,288.5815206839255,288.78546088988315,288.4000555695718,289.08088268362525,288.7330974415677,288.6181390805094,288.3552342527625,289.0933606698913,289.17657671956255,288.5963300824294,288.4685209890538,288.7861967977025,288.86962651027295,289.13583254557807,288.7423569588016,288.6162870688668,288.5825822896623,289.0501360297852,289.0353792428906,288.8662570083369,288.5916332980102,288.767499299182,288.98283899158616,289.1680424316832,288.6517620075306,288.2282094900733,288.73519564078293,289.03599453538567,288.9242943143005,288.5913040006172,288.91365231373544,288.4686737749682,288.5501677827252,288.7083284199626,288.23214069833165,288.83818580410207,288.3007220687171,288.4753797853979,289.1626074130708
1436,1969-09-16,287.9685474203932,287.8854010143612,288.1904024911609,287.5379047167398,288.3702215516792,287.95866073558375,287.69346773458403,287.6361996094466,288.44455416948364,288.37453711836514,287.957898036569,287.7568907192301,288.06528703851245,288.16229553949114,288.35321772741304,288.07989391833536,287.8428444171914,287.733897699446,288.28749647678364,288.22457044343116,288.1218420958346,287.8716517368576,287.94455738152874,288.15966791155364,288.564396541843,287.7289010522872,287.49823238248194,287.87539441784514,288.2528444490804,288.13363482243665,287.80457642492814,288.2006736909579,287.65342159737395,287.88306591850204,287.89917133615245,287.47391544379013,288.1369688583956,287.531220652633,287.5765582337926,288.5065540547671
1437,1969-10-16,286.8465935177821,286.9905679303365,287.07434960802715,286.4776153616306,287.38030809032506,286.911639317717,286.6961298574985,286.6707762647572,287.44923604964436,287.3447467544227,286.96018827281085,286.7516359770605,287.0047334770984,287.12541377465396,287.4047011980283,286.99077315282034,286.7442719590347,286.68123526800434,287.29192084152055,287.23757995322785,287.1936217166764,286.82259295896426,286.9994100491427,287.1423564677948,287.46295898171394,286.786907425164,286.45999729649503,287.0013220977315,287.3284353474403,287.01447651718837,286.6765268523706,287.1211822464737,286.66623235457183,286.9465551723293,286.95518742058243,286.4896078482416,287.09703049086846,286.6011348825681,286.7354902831142,287.3195141600032
