,time,r1i1p2f1,r2i1p2f1,r3i1p2f1
180,2030-01-16,281.67828,279.1201,280.9996
181,2030-02-15,279.3655,278.16278,280.45203
182,2030-03-16,280.04605,279.79758,279.57022
183,2030-04-16,282.19412,281.76016,281.8889
184,2030-05-16,284.95154,284.92905,287.06525
185,2030-06-16,287.48297,288.57092,287.5287
186,2030-07-16,291.35034,292.4259,293.35992
187,2030-08-16,293.08548,292.94336,292.57224
188,2030-09-16,289.20538,290.36118,290.22122
189,2030-10-16,286.95285,287.24658,286.57108
190,2030-11-16,283.08484,283.313,282.6865
191,2030-12-16,280.16916,281.36905,280.19168
192,2031-01-16,278.2927,279.88538,276.90247
193,2031-02-15,280.02692,279.83765,280.72504
194,2031-03-16,280.42886,279.99484,278.66693
195,2031-04-16,282.66092,283.36264,282.93
196,2031-05-16,284.6166,285.27206,285.8028
197,2031-06-16,288.78857,289.09854,288.29422
198,2031-07-16,293.3837,291.9309,290.26028
199,2031-08-16,292.83722,292.7371,290.68433
200,2031-09-16,289.42517,290.17737,289.9122
201,2031-10-16,287.36862,287.59634,287.55667
202,2031-11-16,284.42422,285.06494,283.6221
203,2031-12-16,282.15115,282.28772,281.0939
204,2032-01-16,279.77524,280.9746,278.666
205,2032-02-15,280.1011,278.38846,281.02127
206,2032-03-16,281.7994,281.19284,279.99164
207,2032-04-16,283.00662,282.56927,282.92886
208,2032-05-16,285.65506,285.09933,287.53793
209,2032-06-16,289.42618,288.3743,291.59317
210,2032-07-16,292.77222,290.7627,293.30707
211,2032-08-16,294.48605,291.262,294.39093
212,2032-09-16,291.4477,289.47037,292.34854
213,2032-10-16,288.88065,286.0474,286.598
214,2032-11-16,284.9738,282.52664,283.51886
215,2032-12-16,283.79495,280.85593,280.88217
216,2033-01-16,279.503,279.16983,280.5324
217,2033-02-15,278.3771,277.74097,278.13394
218,2033-03-16,280.76297,281.2999,279.2043
219,2033-04-16,281.53665,282.0827,281.2145
220,2033-05-16,286.72787,285.40335,283.5299
221,2033-06-16,288.32562,289.0629,288.0167
222,2033-07-16,289.91803,291.03802,289.17487
223,2033-08-16,291.4203,291.61142,289.9986
224,2033-09-16,290.06912,290.26352,290.74207
225,2033-10-16,287.4409,286.95096,286.25223
226,2033-11-16,284.7423,284.1896,284.14578
227,2033-12-16,283.07065,281.66547,281.4451
228,2034-01-16,279.75595,280.29657,280.71942
229,2034-02-15,280.5215,279.9687,280.80057
230,2034-03-16,280.86813,280.7536,281.79895
231,2034-04-16,282.1771,280.68478,282.50958
232,2034-05-16,284.00693,284.7696,286.5567
233,2034-06-16,289.90668,288.31567,289.62488
234,2034-07-16,291.90256,289.88416,292.1633
235,2034-08-16,291.86823,291.07883,293.3089
236,2034-09-16,289.8613,290.82977,290.26245
237,2034-10-16,287.05957,286.76672,286.90332
238,2034-11-16,283.68265,284.24582,283.8503
239,2034-12-16,281.18274,282.72284,281.4912
240,2035-01-16,280.8613,281.55475,279.419
241,2035-02-15,279.3906,280.52466,279.81528
242,2035-03-16,279.74893,280.47174,281.0577
243,2035-04-16,281.84534,280.9231,283.6751
244,2035-05-16,285.89517,285.76273,286.13608
245,2035-06-16,289.57626,288.35464,291.25415
246,2035-07-16,292.90067,291.8985,293.6477
247,2035-08-16,293.89932,291.79285,293.39578
248,2035-09-16,291.2169,289.76324,289.63477
249,2035-10-16,287.04272,286.0536,285.78195
250,2035-11-16,282.95334,282.78494,284.16403
251,2035-12-16,281.5346,280.3847,282.39102
252,2036-01-16,280.60144,278.63623,279.28207
253,2036-02-15,278.6241,280.5877,277.3192
254,2036-03-16,278.77875,282.45578,278.94067
255,2036-04-16,281.9498,282.85098,282.15982
256,2036-05-16,284.16025,284.63126,285.31256
257,2036-06-16,288.19385,290.05884,289.0093
258,2036-07-16,291.66522,292.16858,294.38464
259,2036-08-16,293.0753,291.20862,294.53296
260,2036-09-16,293.00443,289.47534,290.5716
261,2036-10-16,287.99908,287.02057,286.8942
262,2036-11-16,284.25912,284.1897,284.0497
263,2036-12-16,281.70035,282.09692,281.704
264,2037-01-16,280.49496,281.0493,281.89554
265,2037-02-15,279.75146,279.56406,279.7777
266,2037-03-16,280.16055,279.83664,280.44745
267,2037-04-16,282.91837,281.90305,281.89758
268,2037-05-16,285.24332,284.57242,286.4663
269,2037-06-16,289.30014,290.2709,289.14886
270,2037-07-16,291.33707,291.94443,291.08218
271,2037-08-16,292.68475,294.06976,293.14917
272,2037-09-16,290.47995,291.29282,291.42505
273,2037-10-16,288.69473,288.02707,287.3251
274,2037-11-16,284.3466,284.5515,284.4936
275,2037-12-16,281.43515,280.97244,281.68384
276,2038-01-16,279.69284,282.50214,278.99533
277,2038-02-15,278.68283,279.97235,282.65945
278,2038-03-16,278.36942,282.5996,281.70486
279,2038-04-16,282.62643,281.33432,283.91458
280,2038-05-16,284.3623,285.66138,286.72507
281,2038-06-16,288.2653,289.07895,289.34247
282,2038-07-16,289.79062,292.1418,293.35526
283,2038-08-16,291.43573,290.66962,293.42722
284,2038-09-16,290.59927,290.5296,291.96313
285,2038-10-16,286.68762,286.83997,288.47098
286,2038-11-16,284.94852,285.34253,284.8665
287,2038-12-16,281.57352,282.3965,281.4724
288,2039-01-16,281.4944,280.8306,280.14508
289,2039-02-15,279.37943,279.74683,281.19507
290,2039-03-16,279.5995,280.43393,281.49048
291,2039-04-16,281.8913,280.98804,282.8401
292,2039-05-16,285.18683,285.49722,287.25525
293,2039-06-16,288.708,288.82086,289.11145
294,2039-07-16,291.42822,292.97833,293.59686
295,2039-08-16,291.61157,292.33075,295.32333
