,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
179,2029-12-16,280.8991,281.30652,280.96802
180,2030-01-16,279.85852,281.29565,280.00293
181,2030-02-15,281.16733,279.6812,281.8069
182,2030-03-16,281.02954,282.1632,281.68875
183,2030-04-16,283.02298,282.2812,283.39304
184,2030-05-16,286.7139,285.53036,285.68732
185,2030-06-16,291.9055,290.65915,288.28583
186,2030-07-16,293.35574,293.03964,291.6592
187,2030-08-16,292.75156,294.86157,292.8542
188,2030-09-16,290.3002,291.03134,290.17694
189,2030-10-16,287.4683,288.20663,285.83542
190,2030-11-16,283.07993,283.576,284.04483
191,2030-12-16,282.23383,281.52435,281.15097
192,2031-01-16,278.44803,281.1692,280.87494
193,2031-02-15,279.6614,281.92947,280.77045
194,2031-03-16,281.27716,281.7933,281.296
195,2031-04-16,282.44186,283.10843,283.11023
196,2031-05-16,285.98816,287.87433,287.1482
197,2031-06-16,289.85635,290.10962,290.06305
198,2031-07-16,292.51834,292.7906,292.29822
199,2031-08-16,292.44122,292.5227,292.2702
200,2031-09-16,290.6694,290.66208,289.81506
201,2031-10-16,287.71924,287.68094,286.85947
202,2031-11-16,282.98657,282.5755,283.3332
203,2031-12-16,280.50473,280.36597,279.98245
204,2032-01-16,280.56027,279.9855,280.8653
205,2032-02-15,281.73593,281.6269,280.70334
206,2032-03-16,283.799,282.05884,280.77094
207,2032-04-16,283.40793,282.93137,283.5441
208,2032-05-16,284.8178,286.73642,285.899
209,2032-06-16,289.06003,289.97748,290.10556
210,2032-07-16,292.62842,291.65167,292.98495
211,2032-08-16,293.20682,292.44934,293.9993
212,2032-09-16,291.15985,290.7147,290.7394
213,2032-10-16,287.98196,287.4392,287.59238
214,2032-11-16,283.69687,282.61954,284.30875
215,2032-12-16,282.18683,281.19852,281.3264
216,2033-01-16,281.55124,279.63123,278.06677
217,2033-02-15,282.50357,281.04337,278.35135
218,2033-03-16,280.96832,280.99072,282.48608
219,2033-04-16,283.95847,282.61768,282.8951
220,2033-05-16,286.30307,286.64087,284.81067
221,2033-06-16,288.98428,289.63464,290.5745
222,2033-07-16,293.85117,292.83508,292.15646
223,2033-08-16,294.16727,292.68375,292.49387
224,2033-09-16,290.07062,288.65814,290.55414
225,2033-10-16,287.21072,287.5806,285.93582
226,2033-11-16,282.7699,282.8385,283.6509
227,2033-12-16,280.8713,281.32376,280.8091
228,2034-01-16,282.21817,279.62155,280.67725
229,2034-02-15,280.5245,279.8219,280.97
230,2034-03-16,281.3271,283.11298,281.36087
231,2034-04-16,284.007,282.54492,282.37875
232,2034-05-16,287.3614,285.75546,285.85736
233,2034-06-16,292.40872,289.4593,289.21368
234,2034-07-16,292.39215,293.22012,293.33694
235,2034-08-16,293.86118,292.7751,294.01776
236,2034-09-16,291.0794,290.8061,289.8038
237,2034-10-16,287.0066,287.98563,286.30566
238,2034-11-16,283.8228,283.0883,281.9748
239,2034-12-16,282.08017,282.8211,281.6697
240,2035-01-16,280.72443,281.19626,280.2895
241,2035-02-15,282.87097,281.02505,280.78464
242,2035-03-16,281.27167,283.12592,281.94046
243,2035-04-16,283.01822,285.29398,283.22604
244,2035-05-16,286.3186,285.8699,286.4101
245,2035-06-16,289.51923,290.41348,291.32434
246,2035-07-16,293.44513,291.6831,293.66306
247,2035-08-16,293.7924,294.5032,293.5256
248,2035-09-16,290.75824,290.5286,291.9848
249,2035-10-16,287.37433,286.95847,288.31985
250,2035-11-16,284.75598,283.24075,284.78384
251,2035-12-16,280.91464,281.0052,280.4308
252,2036-01-16,280.74753,281.16833,279.58023
253,2036-02-15,280.9672,279.7995,280.77603
254,2036-03-16,280.81274,281.66483,282.60855
255,2036-04-16,283.4378,283.92853,283.8494
256,2036-05-16,286.31644,287.84372,285.70413
257,2036-06-16,289.89984,289.92975,288.79538
258,2036-07-16,292.9293,293.35703,293.80896
259,2036-08-16,293.1005,294.47675,292.89557
260,2036-09-16,291.71017,290.8967,289.2702
261,2036-10-16,289.02853,288.37128,287.1089
262,2036-11-16,282.0309,284.25482,283.29413
263,2036-12-16,278.82877,280.41415,280.26483
264,2037-01-16,278.59436,281.03546,280.7592
265,2037-02-15,280.85785,281.06573,280.35727
266,2037-03-16,282.47083,281.39758,281.79807
267,2037-04-16,283.9331,283.01514,282.41727
268,2037-05-16,287.8688,286.6153,287.99615
269,2037-06-16,291.4766,289.30682,288.79987
270,2037-07-16,293.99542,293.12286,292.84677
271,2037-08-16,293.8653,292.15204,292.92276
272,2037-09-16,291.49985,289.91858,291.28818
273,2037-10-16,287.78476,286.83267,286.33813
274,2037-11-16,282.88138,284.01074,284.59137
275,2037-12-16,282.58496,282.01987,281.8214
276,2038-01-16,283.30966,279.02438,281.6884
277,2038-02-15,281.1328,282.36572,281.38254
278,2038-03-16,282.65686,283.47656,282.1211
279,2038-04-16,283.29083,284.03928,282.07382
280,2038-05-16,288.83575,288.24084,285.61667
281,2038-06-16,289.13806,290.33737,287.9079
282,2038-07-16,293.26968,294.1358,291.9084
283,2038-08-16,294.12936,293.57004,292.45786
284,2038-09-16,291.14648,291.5378,291.81564
285,2038-10-16,287.7482,286.95718,287.66095
286,2038-11-16,282.52487,284.85538,283.24142
287,2038-12-16,279.70947,282.06,279.24146
288,2039-01-16,280.9083,282.1573,279.80673
289,2039-02-15,280.86075,281.82977,279.33948
290,2039-03-16,282.183,282.85056,283.4834
291,2039-04-16,283.70212,284.63702,284.26562
292,2039-05-16,287.19586,286.79233,286.34238
293,2039-06-16,289.54352,290.4669,289.878
294,2039-07-16,292.70004,293.11404,293.99445
295,2039-08-16,295.92032,293.45078,292.4776
296,2039-09-16,293.2312,291.2271,289.63693
297,2039-10-16,288.37177,288.28064,284.67126
298,2039-11-16,284.1071,283.59683,281.65964
299,2039-12-16,282.5017,280.5378,280.81976
300,2040-01-16,281.82965,281.2598,279.6897
301,2040-02-15,280.58597,279.97107,278.71072
302,2040-03-16,280.43423,282.8321,280.79742
303,2040-04-16,283.0481,284.0616,283.0294
304,2040-05-16,285.73718,286.3642,285.79504
305,2040-06-16,291.20032,290.31015,289.5788
306,2040-07-16,292.14178,294.77283,292.42606
307,2040-08-16,293.98935,292.91046,292.0467
308,2040-09-16,291.0907,290.66772,289.6083
309,2040-10-16,288.6819,287.9496,287.04285
310,2040-11-16,283.70312,284.3034,283.83725
311,2040-12-16,280.77518,282.73422,281.59055
312,2041-01-16,280.20206,281.39124,280.42075
313,2041-02-15,282.1782,280.55386,280.16138
314,2041-03-16,280.5466,280.89255,279.19
315,2041-04-16,283.5079,282.28912,281.16107
316,2041-05-16,286.99677,285.53842,285.12985
317,2041-06-16,290.98737,290.10776,288.5821
318,2041-07-16,293.2961,293.16562,292.6443
319,2041-08-16,293.25064,293.27777,294.4132
320,2041-09-16,292.00357,291.1305,292.05078
321,2041-10-16,288.03766,288.22412,286.81076
322,2041-11-16,284.38297,283.78912,282.53906
323,2041-12-16,282.9134,282.7271,278.0297
324,2042-01-16,280.628,281.1435,279.99393
325,2042-02-15,280.5921,281.17175,280.25018
326,2042-03-16,281.60635,281.29745,282.4386
327,2042-04-16,283.17627,283.57712,283.0423
328,2042-05-16,284.29547,287.82846,287.09705
329,2042-06-16,289.257,289.90887,288.54636
330,2042-07-16,292.92047,293.93533,293.85138
331,2042-08-16,293.6768,293.75928,293.5476
332,2042-09-16,291.1247,290.191,291.00955
333,2042-10-16,287.5143,288.52866,287.58224
334,2042-11-16,284.3919,283.2097,284.69568
335,2042-12-16,281.77734,281.5934,281.20682
336,2043-01-16,280.4819,282.1285,277.6287
337,2043-02-15,279.55014,282.4504,277.94214
338,2043-03-16,280.60773,282.39734,279.166
339,2043-04-16,283.78897,283.84476,284.34482
340,2043-05-16,288.48914,285.04852,286.529
341,2043-06-16,290.71268,290.34204,289.99844
342,2043-07-16,294.56946,294.6437,291.78033
343,2043-08-16,294.69662,294.5803,293.0611
344,2043-09-16,292.1639,292.31665,290.28436
345,2043-10-16,288.0571,286.95383,285.60904
346,2043-11-16,284.75366,282.133,282.9246
347,2043-12-16,281.58414,279.12442,279.97
348,2044-01-16,280.53076,279.8715,276.6674
349,2044-02-15,279.9604,279.33243,279.59027
350,2044-03-16,282.07965,280.72064,281.68024
351,2044-04-16,283.3548,284.14487,283.52792
352,2044-05-16,287.4959,285.76895,286.36258
353,2044-06-16,289.47437,289.6818,291.23474
354,2044-07-16,293.17667,293.5982,292.86124
355,2044-08-16,293.43515,292.933,294.31342
356,2044-09-16,291.62082,291.63916,290.75406
357,2044-10-16,287.89053,287.738,287.76367
358,2044-11-16,284.32587,284.575,283.96503
359,2044-12-16,281.17105,281.8976,281.3306
360,2045-01-16,280.157,279.4095,281.79572
361,2045-02-15,280.25586,280.3443,279.7246
362,2045-03-16,283.06497,282.62143,280.59933
363,2045-04-16,283.55905,282.78867,282.969
364,2045-05-16,286.02762,286.11212,287.34583
365,2045-06-16,288.80524,291.74396,290.90085
366,2045-07-16,293.32135,294.2364,292.77838
367,2045-08-16,295.743,294.4043,293.66162
368,2045-09-16,291.26895,291.68448,290.09457
369,2045-10-16,288.20996,288.28918,286.98447
370,2045-11-16,284.20023,285.22144,281.7697
371,2045-12-16,280.7876,281.57852,281.23898
372,2046-01-16,280.96414,281.75284,280.90967
373,2046-02-15,280.62177,280.23022,281.2041
374,2046-03-16,281.03134,280.92838,281.9447
375,2046-04-16,283.4956,284.21323,282.77356
376,2046-05-16,285.25842,285.7475,287.53564
377,2046-06-16,290.86478,289.91095,291.10464
378,2046-07-16,292.07306,294.04904,295.49142
379,2046-08-16,293.04492,294.13815,292.9677
380,2046-09-16,291.12054,291.45828,290.79492
381,2046-10-16,288.29535,288.38397,286.38953
382,2046-11-16,284.7722,284.2169,283.43607
383,2046-12-16,281.98825,280.41672,279.27716
384,2047-01-16,280.2967,281.48422,279.5196
385,2047-02-15,281.1637,281.46136,280.9155
386,2047-03-16,282.33618,282.8409,281.49094
387,2047-04-16,283.78983,283.75485,282.66464
388,2047-05-16,286.86646,286.66586,286.6051
389,2047-06-16,292.43384,290.02594,290.3802
390,2047-07-16,292.55173,293.916,292.84882
391,2047-08-16,294.1827,294.27374,292.9949
392,2047-09-16,291.1286,291.42883,290.51965
393,2047-10-16,288.7575,287.03918,288.3355
394,2047-11-16,283.92526,283.0022,284.8421
395,2047-12-16,282.83765,280.73627,282.78827
396,2048-01-16,278.09192,279.33414,282.01694
397,2048-02-15,281.64615,282.71988,282.37415
398,2048-03-16,281.19934,281.01675,281.90244
399,2048-04-16,283.69962,284.30283,284.6192
