,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2
182,2030-03-16,280.7322,278.78702,279.08737,281.27298,281.84097
183,2030-04-16,283.49414,281.7051,282.95416,282.18262,283.25052
184,2030-05-16,284.67267,284.34155,286.52234,286.21875,288.23474
185,2030-06-16,288.1049,290.36807,286.6733,288.37772,292.29276
186,2030-07-16,291.71494,295.10565,292.41373,292.78186,293.58768
187,2030-08-16,293.9345,294.89404,291.61795,292.66525,293.66125
188,2030-09-16,290.9251,291.31064,289.62912,288.3368,291.2898
189,2030-10-16,288.4141,287.38513,285.38785,286.84622,287.50714
190,2030-11-16,283.37366,281.77362,282.57693,282.44043,284.135
191,2030-12-16,280.07477,278.67548,276.67102,278.23404,280.62396
192,2031-01-16,280.466,278.8736,278.08453,277.39005,279.20416
193,2031-02-15,280.3784,278.88293,276.27274,279.16745,278.60834
194,2031-03-16,281.3685,280.18845,278.76013,276.48642,277.59015
195,2031-04-16,281.39963,280.95908,280.91345,280.8265,284.43292
196,2031-05-16,285.10483,286.76422,287.60196,285.34033,284.85367
197,2031-06-16,289.66162,289.67267,291.60333,290.17468,290.52023
198,2031-07-16,295.62338,292.86676,292.27698,292.42007,294.71545
199,2031-08-16,293.4785,294.32028,292.2932,294.73355,294.06766
200,2031-09-16,290.65182,292.0512,288.0388,290.3974,288.86435
201,2031-10-16,286.39822,285.45255,284.89383,286.8269,287.50522
202,2031-11-16,285.48404,283.08444,284.04446,282.80002,281.75162
203,2031-12-16,281.79102,279.49646,279.61072,279.71725,280.87366
204,2032-01-16,279.45245,279.32016,276.77942,281.14682,279.33307
205,2032-02-15,279.13434,280.09067,276.77185,279.8195,279.5182
206,2032-03-16,281.2608,277.73602,278.5048,279.92218,281.0539
207,2032-04-16,282.14655,285.01007,284.93427,282.31366,281.94614
208,2032-05-16,287.86633,289.06467,284.19946,287.00647,286.98373
209,2032-06-16,292.8174,293.74622,288.6746,291.26886,288.84476
210,2032-07-16,294.81445,293.0769,292.1798,292.7644,290.77023
211,2032-08-16,294.09186,293.05023,292.60254,294.5053,294.16095
212,2032-09-16,291.7676,290.6356,288.69714,290.1704,288.37
213,2032-10-16,286.7222,287.67313,284.71753,286.56915,286.05487
214,2032-11-16,283.4272,281.9278,282.22787,283.97598,282.4499
215,2032-12-16,280.387,280.59637,279.6587,280.88416,280.963
216,2033-01-16,279.93478,279.85196,279.0341,277.23267,278.266
217,2033-02-15,278.98187,278.44778,278.40512,276.33673,278.40112
218,2033-03-16,282.1004,281.09702,278.26013,278.422,278.85797
219,2033-04-16,284.2856,282.42657,280.94977,281.41116,281.46252
220,2033-05-16,285.75464,285.51895,286.1298,286.9677,286.72415
221,2033-06-16,292.12607,290.9197,288.86835,290.12787,290.91733
222,2033-07-16,295.95447,294.14417,292.48615,294.1149,293.82938
223,2033-08-16,293.0322,293.07123,294.15445,295.18427,293.5453
224,2033-09-16,290.75824,289.22003,289.8839,289.69986,289.3967
225,2033-10-16,288.69562,285.50177,286.71942,285.70773,286.6031
226,2033-11-16,281.0394,283.32837,281.8098,284.19003,281.39655
227,2033-12-16,279.58807,282.23352,280.1657,279.26758,280.5843
228,2034-01-16,275.89127,279.36572,279.5327,277.1741,277.40045
229,2034-02-15,275.6727,278.90836,278.16223,278.86588,278.9691
230,2034-03-16,277.1015,279.92175,281.6283,279.81314,279.6055
231,2034-04-16,281.71887,281.1566,282.66183,282.13904,282.4363
232,2034-05-16,286.68768,284.79178,285.3105,284.8648,287.24213
233,2034-06-16,292.01978,291.7399,287.50192,290.12927,291.32376
234,2034-07-16,292.4225,293.97748,295.21115,294.8756,293.94577
235,2034-08-16,293.76505,292.88248,293.2996,294.96188,294.11368
236,2034-09-16,290.89642,290.6051,291.78372,291.9015,289.05237
237,2034-10-16,288.6494,285.22824,287.1044,285.29007,285.3457
238,2034-11-16,283.37656,283.1264,282.65317,282.5242,281.03778
239,2034-12-16,281.11383,279.1097,278.42737,280.57178,278.88013
240,2035-01-16,281.0295,280.06366,278.42917,279.02698,278.25186
241,2035-02-15,279.81302,277.70676,276.99014,278.36115,278.22412
242,2035-03-16,279.24356,279.33917,279.00266,279.03363,279.3774
243,2035-04-16,283.02963,279.374,282.46997,281.0016,280.5993
244,2035-05-16,288.24524,286.53815,286.6259,285.64386,287.02835
245,2035-06-16,288.77933,292.02106,290.05664,289.4675,294.22885
246,2035-07-16,294.54834,292.0673,293.11996,294.45508,294.82254
247,2035-08-16,293.33688,292.6828,295.02127,294.38327,292.94208
248,2035-09-16,292.98587,290.54025,290.3705,290.9975,289.9093
249,2035-10-16,285.48306,287.0463,287.39606,285.98538,288.39487
250,2035-11-16,282.50696,282.21005,283.95264,282.45947,283.64655
251,2035-12-16,280.22363,281.22742,278.97528,281.14774,279.1184
252,2036-01-16,279.37677,279.94058,279.54205,275.81165,277.0126
253,2036-02-15,280.05606,279.40533,276.07004,278.13223,279.82877
254,2036-03-16,280.70264,278.6117,280.4455,277.2555,280.4388
255,2036-04-16,283.40787,282.81143,283.74902,279.17722,281.54807
256,2036-05-16,286.53278,286.58566,285.8885,284.66403,284.18173
257,2036-06-16,291.12286,293.24536,289.59357,288.60895,287.99667
258,2036-07-16,295.2581,294.72614,293.7939,294.55496,292.49963
259,2036-08-16,294.68753,292.7867,294.05353,290.4834,291.8904
260,2036-09-16,289.49323,290.2487,292.1203,288.9759,289.47684
261,2036-10-16,286.32495,286.63504,285.32495,284.15985,286.3751
262,2036-11-16,281.72626,284.341,282.27905,283.3459,281.94763
263,2036-12-16,282.41632,281.6778,279.05316,280.886,279.32687
264,2037-01-16,279.93073,278.63693,278.64655,279.0613,277.6382
265,2037-02-15,278.7048,278.7432,278.3944,279.56287,279.95093
266,2037-03-16,280.84384,280.4401,278.26572,280.4119,280.96274
267,2037-04-16,282.79642,280.6199,282.19495,280.77985,281.68237
268,2037-05-16,286.8644,283.62473,288.10016,286.34885,286.1995
269,2037-06-16,293.10193,289.91907,291.50156,290.5352,292.3734
270,2037-07-16,294.50256,292.6786,294.2736,294.55612,296.23773
271,2037-08-16,297.14435,295.89716,295.38358,295.2192,295.26758
272,2037-09-16,291.3699,290.24356,293.46268,290.68076,291.50122
273,2037-10-16,285.69785,288.52554,288.67825,286.76096,286.5156
274,2037-11-16,283.4333,282.89618,283.6451,284.12262,284.68048
275,2037-12-16,280.88663,279.19962,280.86926,280.50412,281.35846
276,2038-01-16,280.5941,277.31927,279.0063,279.0818,280.3544
277,2038-02-15,277.91953,278.74237,276.08694,280.7177,278.15353
278,2038-03-16,281.0725,281.8759,278.48553,280.8617,279.717
279,2038-04-16,281.81308,282.50504,282.9265,282.90344,282.79758
280,2038-05-16,286.09723,287.9068,285.1306,285.94983,287.2357
281,2038-06-16,289.85437,294.49075,289.3453,290.4451,291.3324
282,2038-07-16,293.23523,294.9386,293.5018,292.26028,293.63492
283,2038-08-16,293.83502,294.42673,295.19107,292.02408,294.585
284,2038-09-16,290.0446,290.35272,289.95013,290.9526,290.3181
285,2038-10-16,286.5391,286.86932,286.08392,288.16046,286.79572
286,2038-11-16,283.00732,282.99496,281.2874,284.0049,280.25385
287,2038-12-16,280.9957,276.71762,280.20865,280.07928,278.4285
288,2039-01-16,278.55396,276.27017,277.5548,278.66495,279.21564
289,2039-02-15,280.44522,278.19336,278.6233,277.26328,278.08615
290,2039-03-16,280.8595,278.0734,279.08716,279.68982,280.4089
