,time,r1i1p1f1
430,2050-11-16,283.86707
431,2050-12-16,281.11703
432,2051-01-16,280.59125
433,2051-02-15,280.75717
434,2051-03-16,281.19342
435,2051-04-16,283.36298
436,2051-05-16,286.64532
437,2051-06-16,288.65375
438,2051-07-16,292.399
439,2051-08-16,294.08032
440,2051-09-16,290.13232
441,2051-10-16,287.7607
442,2051-11-16,282.68445
443,2051-12-16,282.15866
444,2052-01-16,278.8316
445,2052-02-15,280.18768
446,2052-03-16,281.67422
447,2052-04-16,281.40967
448,2052-05-16,283.49252
449,2052-06-16,287.72214
450,2052-07-16,290.38678
451,2052-08-16,294.3152
452,2052-09-16,291.09412
453,2052-10-16,285.8898
454,2052-11-16,284.45007
455,2052-12-16,281.23547
456,2053-01-16,280.87277
457,2053-02-15,281.50458
458,2053-03-16,280.9082
459,2053-04-16,283.41147
460,2053-05-16,285.88358
461,2053-06-16,287.83444
462,2053-07-16,290.72525
463,2053-08-16,290.43817
464,2053-09-16,290.55753
465,2053-10-16,286.96475
466,2053-11-16,284.10416
467,2053-12-16,282.61514
468,2054-01-16,279.0072
469,2054-02-15,280.6293
470,2054-03-16,280.5013
471,2054-04-16,282.2634
472,2054-05-16,286.1538
473,2054-06-16,288.78903
474,2054-07-16,291.93054
475,2054-08-16,290.6187
476,2054-09-16,289.6654
477,2054-10-16,286.94055
478,2054-11-16,282.6311
479,2054-12-16,282.29694
480,2055-01-16,281.51254
481,2055-02-15,279.1853
482,2055-03-16,281.4237
483,2055-04-16,283.32047
484,2055-05-16,286.13196
485,2055-06-16,288.66742
486,2055-07-16,290.08936
487,2055-08-16,291.2101
488,2055-09-16,289.63672
489,2055-10-16,288.0992
490,2055-11-16,284.90717
491,2055-12-16,280.9883
492,2056-01-16,279.97034
493,2056-02-15,280.67224
494,2056-03-16,279.79175
495,2056-04-16,283.43747
496,2056-05-16,287.5887
497,2056-06-16,290.91937
498,2056-07-16,291.1467
499,2056-08-16,291.807
500,2056-09-16,290.1301
501,2056-10-16,284.99417
502,2056-11-16,282.78564
503,2056-12-16,281.73737
504,2057-01-16,280.0657
505,2057-02-15,281.19568
506,2057-03-16,280.24237
507,2057-04-16,282.98398
508,2057-05-16,284.9
509,2057-06-16,288.24298
510,2057-07-16,289.44702
511,2057-08-16,292.77112
512,2057-09-16,289.2238
513,2057-10-16,286.21143
514,2057-11-16,283.56357
515,2057-12-16,278.8312
516,2058-01-16,279.32068
517,2058-02-15,277.47626
518,2058-03-16,280.44275
519,2058-04-16,281.66995
520,2058-05-16,285.4672
521,2058-06-16,290.99838
522,2058-07-16,290.07736
523,2058-08-16,293.23346
524,2058-09-16,290.1112
525,2058-10-16,286.65427
526,2058-11-16,284.08688
527,2058-12-16,280.29807
528,2059-01-16,279.05862
529,2059-02-15,278.6623
530,2059-03-16,281.43478
531,2059-04-16,282.8451
532,2059-05-16,286.0488
533,2059-06-16,289.24982
534,2059-07-16,289.45822
535,2059-08-16,292.70682
536,2059-09-16,289.55612
537,2059-10-16,284.53302
538,2059-11-16,282.87915
539,2059-12-16,281.01776
540,2060-01-16,281.2341
541,2060-02-15,279.67108
542,2060-03-16,281.03183
543,2060-04-16,283.62213
544,2060-05-16,286.07535
545,2060-06-16,291.5317
546,2060-07-16,293.986
547,2060-08-16,294.96158
548,2060-09-16,292.26843
549,2060-10-16,286.96057
550,2060-11-16,284.17554
551,2060-12-16,281.29977
552,2061-01-16,282.27307
553,2061-02-15,280.39087
554,2061-03-16,281.02106
555,2061-04-16,282.89026
556,2061-05-16,286.21506
557,2061-06-16,290.74066
558,2061-07-16,289.96567
559,2061-08-16,292.60873
560,2061-09-16,291.28647
561,2061-10-16,287.66013
562,2061-11-16,284.9206
563,2061-12-16,280.87476
564,2062-01-16,279.9321
565,2062-02-15,280.10413
566,2062-03-16,282.0918
567,2062-04-16,284.60394
568,2062-05-16,286.142
569,2062-06-16,288.12598
570,2062-07-16,292.24274
571,2062-08-16,293.32294
572,2062-09-16,290.3642
573,2062-10-16,286.37286
574,2062-11-16,283.3304
