,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2
98,2023-03-16,278.5795,278.64822,276.4249,279.7022,281.49384,280.43524
99,2023-04-16,281.4102,280.00516,279.99213,280.67526,280.70676,281.25214
100,2023-05-16,286.12927,284.4875,284.51633,285.05206,284.8408,284.88574
101,2023-06-16,289.26587,288.91257,287.10757,287.44357,289.72247,291.58847
102,2023-07-16,291.43866,294.84064,292.57504,291.64343,292.97937,292.54214
103,2023-08-16,293.17883,292.83664,291.062,294.1507,292.64526,293.60812
104,2023-09-16,288.70688,290.27484,289.9932,289.07645,288.67975,291.0719
105,2023-10-16,286.90598,284.28842,284.66138,285.3533,285.2714,286.3701
106,2023-11-16,282.43094,280.802,284.37003,281.50226,282.46042,280.91586
107,2023-12-16,281.5566,278.38733,279.32254,279.23096,280.56415,279.06558
108,2024-01-16,278.3387,277.2306,278.93466,279.9481,278.36786,278.42242
109,2024-02-15,276.9814,277.227,278.36014,279.72974,278.02975,278.21622
110,2024-03-16,280.17383,278.38657,281.99945,282.0834,278.1786,279.65485
111,2024-04-16,281.52167,279.94885,283.34885,282.7524,279.36102,282.9566
112,2024-05-16,282.56363,284.27576,285.42825,286.12192,289.84695,285.25906
113,2024-06-16,286.8,288.19412,289.1556,288.60455,293.03705,290.1716
114,2024-07-16,292.62863,293.37485,293.22104,292.0063,293.29544,293.03738
115,2024-08-16,291.87927,293.1808,293.97678,295.27277,292.31876,294.69217
116,2024-09-16,288.81262,289.4854,291.58603,290.84845,287.90207,290.57953
117,2024-10-16,285.18048,285.25665,285.8858,284.22055,285.07425,285.42786
118,2024-11-16,282.99924,281.82623,281.58548,280.16882,283.30365,281.1996
119,2024-12-16,278.5873,277.4211,278.53394,279.21686,279.67325,278.53085
120,2025-01-16,278.02942,276.86667,276.6864,278.43073,277.969,276.76416
121,2025-02-15,278.70367,277.98773,276.35614,278.82974,278.5255,276.67273
122,2025-03-16,279.07648,279.26642,279.07233,278.6368,278.33392,278.47647
123,2025-04-16,281.36005,281.48505,281.62796,281.81897,280.88098,280.99692
124,2025-05-16,282.81842,286.4281,285.32245,285.30338,284.05963,285.80457
125,2025-06-16,287.89865,288.1745,289.96417,290.13422,290.38956,289.20975
126,2025-07-16,295.04343,292.80154,292.65424,294.1834,294.13828,291.65817
127,2025-08-16,293.66763,292.23087,293.31464,293.3182,292.5177,295.6814
128,2025-09-16,291.71506,290.1843,291.18588,288.1814,288.82343,290.88846
129,2025-10-16,286.21722,285.27097,284.4496,283.69806,287.12543,285.6122
130,2025-11-16,280.26654,281.61426,280.71417,280.66907,281.0994,283.59888
131,2025-12-16,277.79248,280.3656,278.37137,280.88177,280.30023,280.75522
132,2026-01-16,279.83035,277.43597,276.72394,278.2194,278.2385,277.9145
133,2026-02-15,278.39395,276.1588,279.17966,277.75,279.28452,277.18674
134,2026-03-16,279.01385,278.33517,281.44885,279.21658,278.2456,281.10574
135,2026-04-16,280.9641,281.6209,282.98224,280.75247,280.4468,282.9473
136,2026-05-16,283.71872,285.2334,287.3882,285.27432,284.74387,285.95816
137,2026-06-16,289.90244,289.96246,290.3106,290.60324,289.72607,290.8274
138,2026-07-16,292.8498,291.47864,292.3855,292.777,292.11926,292.7165
139,2026-08-16,290.9102,293.9807,293.7419,294.18683,292.30542,293.53198
140,2026-09-16,288.0749,289.80402,288.08347,292.85602,289.02686,289.45755
141,2026-10-16,285.8574,284.05167,287.36127,286.42624,286.2694,287.53625
142,2026-11-16,283.61148,282.12643,283.85275,282.19296,280.27243,281.56427
143,2026-12-16,280.3803,278.7665,278.64185,278.60605,278.61392,279.65845
144,2027-01-16,280.33698,278.74292,277.9526,277.2404,279.61002,279.57062
145,2027-02-15,279.65497,277.45322,277.8255,277.61703,280.60107,277.65485
146,2027-03-16,279.0731,276.23215,280.86093,278.63043,280.03638,277.3994
147,2027-04-16,280.46616,278.09476,281.70718,283.23996,283.34436,278.29825
148,2027-05-16,284.75598,284.64072,285.6875,285.526,285.50955,282.96674
149,2027-06-16,292.4505,287.69095,289.6066,291.12073,293.9179,288.8581
150,2027-07-16,291.48138,294.79163,293.8387,293.04605,293.61072,291.01703
151,2027-08-16,291.44925,292.99146,293.28403,295.76752,294.48215,291.99078
152,2027-09-16,289.659,293.1684,290.36118,290.05328,291.39172,288.77466
153,2027-10-16,286.82175,286.9504,285.72052,287.0764,288.5015,286.02316
154,2027-11-16,281.1007,282.09167,282.52347,284.28976,281.49835,282.11914
155,2027-12-16,278.80856,280.63956,280.68918,279.7627,280.33783,277.86063
156,2028-01-16,279.5723,277.9873,279.40848,276.60498,281.9334,278.36407
157,2028-02-15,280.9718,278.12637,278.23123,276.97513,281.9166,280.0249
158,2028-03-16,281.98538,277.9969,279.9423,278.65872,281.8003,277.8056
159,2028-04-16,282.8332,280.52505,280.22238,281.81818,284.0425,282.71985
160,2028-05-16,285.92496,282.12143,285.3011,287.0772,285.19772,286.23846
161,2028-06-16,291.0209,287.99646,291.22034,288.3254,289.36374,290.5936
162,2028-07-16,292.10272,291.63623,295.57422,294.93082,294.70154,293.20935
163,2028-08-16,294.47122,292.2846,294.8866,295.99115,291.53482,291.93677
164,2028-09-16,291.06052,290.30313,288.98026,289.43558,291.2806,289.82788
165,2028-10-16,284.69052,284.586,285.19565,286.35428,286.40567,288.47873
166,2028-11-16,281.9388,281.65988,280.71863,280.542,283.81836,281.6041
167,2028-12-16,281.0362,280.4116,278.70267,280.30542,281.78098,276.92175
168,2029-01-16,278.22244,275.68097,278.96747,279.15967,280.21295,278.49677
169,2029-02-15,279.4695,277.28574,278.59195,279.5674,281.19757,280.39557
170,2029-03-16,279.67828,279.8498,279.79337,278.32913,281.38922,279.57776
171,2029-04-16,281.2976,283.35767,282.75195,282.40192,283.0725,282.09357
172,2029-05-16,288.05222,284.35452,287.02585,283.29214,285.1157,286.9471
173,2029-06-16,291.46448,290.6985,287.75848,287.33377,290.72345,291.73788
174,2029-07-16,291.9312,293.888,292.64468,291.99493,294.42538,293.1628
175,2029-08-16,292.64154,293.69696,293.46982,292.5953,292.53946,292.2654
176,2029-09-16,289.73114,289.93262,290.7291,291.74072,290.1444,290.31274
177,2029-10-16,284.8614,287.11646,285.3902,286.1977,286.08328,285.2778
178,2029-11-16,280.97388,279.82574,283.52722,281.02756,281.1084,280.96527
179,2029-12-16,279.0798,277.18192,279.98688,279.27536,280.7232,278.04297
180,2030-01-16,279.9593,275.07794,279.93475,276.74347,278.04208,278.199
181,2030-02-15,277.96133,278.99817,278.7279,275.0132,278.83905,278.92532
182,2030-03-16,278.54263,279.3119,278.0308,279.66718,277.92404,279.43808
183,2030-04-16,281.46378,280.8802,283.23804,282.1233,281.28662,283.36792
184,2030-05-16,286.9842,283.86133,285.17688,283.95322,284.5383,286.24548
185,2030-06-16,291.3439,291.23657,288.38882,290.26822,287.75787,290.24368
186,2030-07-16,292.49582,292.22696,294.1222,292.0115,295.01935,293.7441
187,2030-08-16,294.73663,293.83078,293.79697,292.3657,293.74002,292.7064
188,2030-09-16,290.98703,290.01743,290.74765,291.58862,291.1221,290.04855
189,2030-10-16,286.79587,285.0001,285.97717,286.00317,286.93066,286.98215
190,2030-11-16,283.01108,280.82388,282.9904,283.2886,282.2695,280.09317
191,2030-12-16,279.80734,279.09027,279.6541,279.97308,280.30838,280.63263
192,2031-01-16,277.73505,278.55243,277.3315,277.93512,278.98386,278.15057
193,2031-02-15,277.82095,277.17114,279.08282,274.0017,277.24045,279.05637
194,2031-03-16,277.56226,277.89633,279.2491,276.95578,278.07333,281.13394
195,2031-04-16,281.7614,278.56354,281.34042,281.436,281.80045,282.40613
196,2031-05-16,285.82513,282.4841,283.8816,283.19745,284.35373,285.13577
197,2031-06-16,291.53687,288.89145,288.396,289.60922,291.9031,289.7968
198,2031-07-16,291.973,290.296,291.14035,292.02563,291.53326,292.41858
199,2031-08-16,293.05594,293.49646,294.1655,293.87183,292.91364,292.32254
200,2031-09-16,290.03952,292.82742,290.6547,290.81613,289.91925,288.59393
201,2031-10-16,287.38635,285.62405,284.92487,284.7325,286.4282,286.26263
202,2031-11-16,283.0254,283.94516,281.47906,280.957,283.1715,282.5413
203,2031-12-16,279.47784,280.52777,277.68787,279.72403,279.71744,278.60815
204,2032-01-16,277.30206,277.76883,276.55176,278.52173,278.17133,278.5298
205,2032-02-15,279.42258,279.6752,279.49258,276.97003,278.6975,280.02286
206,2032-03-16,278.13217,279.60632,278.81467,280.49176,280.5897,280.773
207,2032-04-16,279.94205,282.3341,283.27414,281.2221,282.20706,281.46158
208,2032-05-16,286.69815,286.70654,285.12045,283.955,286.7303,285.13824
209,2032-06-16,290.75006,291.03772,291.08102,289.38202,289.9787,291.02957
210,2032-07-16,292.35764,294.06042,291.76788,292.07587,294.68567,292.76843
211,2032-08-16,292.50723,295.51794,291.07,293.9759,294.2832,295.92004
212,2032-09-16,288.82834,293.18237,289.22876,289.84198,290.66183,290.01666
213,2032-10-16,286.40945,288.09653,284.1524,286.4744,287.8179,286.22226
214,2032-11-16,281.71957,284.34973,282.60623,282.2878,282.4944,283.46704
215,2032-12-16,279.26712,281.3693,280.91263,278.71625,281.20743,280.7087
216,2033-01-16,278.27402,280.67218,277.7754,277.7819,279.00308,280.289
217,2033-02-15,276.80035,278.72427,278.78552,278.50848,279.36713,277.25592
218,2033-03-16,279.45007,280.58264,278.16605,280.373,277.7861,279.57028
219,2033-04-16,283.67245,281.44513,280.0231,283.2082,279.92053,283.25943
220,2033-05-16,285.35608,284.20422,285.81107,284.20367,283.44678,286.0323
221,2033-06-16,290.22958,290.25662,289.4002,289.9012,289.5065,293.50607
222,2033-07-16,294.50467,294.186,293.44717,293.6025,293.5267,293.23358
223,2033-08-16,292.9443,292.93692,291.83014,292.932,292.77258,293.4636
224,2033-09-16,290.6794,289.27252,289.2748,289.4524,288.962,290.74738
