,time,r10i1p1f1,r14i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
112,2024-05-16,285.0325,281.65042,283.9261,282.15988,285.81546,284.38287,283.53738,285.19455,286.61075,282.56552,283.91287
113,2024-06-16,287.8016,285.83102,290.31503,287.25897,290.88678,290.47015,286.16107,292.28815,288.6851,288.40027,286.7379
114,2024-07-16,289.98654,291.9957,291.70544,292.81583,293.5278,292.3304,292.51416,293.7268,291.9574,294.7339,293.12274
115,2024-08-16,292.621,291.5859,291.54657,292.12128,297.25946,292.89355,292.39316,291.38705,292.78656,294.5255,291.11258
116,2024-09-16,290.75128,291.83078,290.36743,291.40103,291.36868,291.07043,289.44537,289.32236,290.7008,290.7223,289.4986
117,2024-10-16,287.05206,286.32388,287.0572,286.0355,286.19724,287.41528,287.20303,286.40247,286.89737,285.8982,285.94525
118,2024-11-16,283.576,281.85397,284.25427,283.10016,281.7617,284.24475,283.23343,281.76712,282.38028,282.4038,281.82114
119,2024-12-16,279.0802,279.90604,280.0711,280.19156,279.6251,281.41232,280.63577,279.49954,279.00912,280.01648,281.7926
120,2025-01-16,277.9241,278.46796,278.33765,276.72693,277.64465,279.93768,279.9414,279.0425,277.68033,278.21344,279.09683
121,2025-02-15,277.59372,278.59357,278.7106,278.39346,278.1531,279.7602,277.69397,278.75433,276.81995,277.37598,279.0438
122,2025-03-16,277.93472,278.89978,277.96225,277.4578,279.1029,279.43085,277.4405,278.90097,277.9778,279.27985,279.76678
123,2025-04-16,280.7965,281.67432,280.88394,280.80887,281.71695,280.88077,279.96133,282.41843,280.92767,282.1271,282.14328
124,2025-05-16,284.8603,285.5185,284.6887,283.43365,283.89014,282.3573,284.35104,285.7223,283.61737,283.85336,283.76385
125,2025-06-16,288.63513,289.27435,286.2063,286.8491,289.0103,287.0248,287.90582,289.70514,288.62802,287.6202,289.70825
126,2025-07-16,292.53882,290.90305,292.3981,293.40073,292.42834,290.32047,291.07947,292.26617,291.32516,290.69098,291.0292
127,2025-08-16,293.1666,292.05563,294.04636,294.85083,293.79056,292.30322,291.70892,292.00922,293.85632,292.7089,292.04343
128,2025-09-16,288.00555,288.82034,290.0223,292.54083,289.50604,289.3539,290.691,293.98514,290.00986,291.23843,291.3811
129,2025-10-16,285.40686,286.41824,287.12564,286.55362,286.18216,285.34427,287.1754,288.30127,287.0298,286.0739,288.36288
130,2025-11-16,282.20895,280.27042,282.02966,283.29727,283.87726,282.42,283.54382,284.69092,282.25974,281.4786,283.19766
131,2025-12-16,279.84366,279.295,281.23694,279.17776,279.46136,278.7305,281.43607,280.56677,279.84323,280.3639,280.33502
132,2026-01-16,278.29944,280.11758,278.08875,279.56863,277.41257,277.19638,280.00687,278.81003,277.59265,278.19824,275.25238
133,2026-02-15,279.0524,278.76434,279.3221,279.2424,275.378,277.0068,279.36417,276.95728,279.09317,276.8178,276.5921
134,2026-03-16,278.09387,278.82397,279.57883,278.84705,274.9794,278.10876,280.18033,279.15326,279.51184,277.29123,277.8692
135,2026-04-16,280.0503,280.85312,281.6095,280.76334,280.21564,282.7738,280.3923,281.788,282.64914,279.93033,279.32013
136,2026-05-16,283.27484,283.72815,283.7448,283.571,285.1882,284.84824,284.4819,286.00076,286.02213,283.08725,287.60858
137,2026-06-16,287.35452,289.18472,287.2154,287.0318,288.728,288.205,286.51355,288.22754,287.99203,288.1082,288.59546
138,2026-07-16,290.10788,294.09747,292.17163,292.9776,294.5416,290.87015,293.1731,292.4077,293.3009,290.26694,294.42358
139,2026-08-16,291.99622,294.58148,294.24576,291.8626,293.77966,292.3628,293.80692,294.18878,294.12543,291.2584,293.88184
140,2026-09-16,289.80203,290.7531,290.92514,289.4828,289.53067,288.88864,288.6329,290.9798,292.2226,290.6959,288.85214
141,2026-10-16,287.8707,287.63306,285.97977,286.12268,287.12466,285.6822,285.25067,286.26505,288.34952,287.63177,286.04846
142,2026-11-16,281.66483,282.98026,282.04364,283.415,283.21014,281.7325,282.8573,283.26865,284.65582,283.96533,281.9457
143,2026-12-16,281.03287,280.10034,280.225,280.96896,281.05624,281.385,280.92484,278.80902,281.44046,281.06046,280.64227
144,2027-01-16,275.308,278.29578,279.73572,280.80603,279.20728,281.0177,279.57776,279.66562,277.7745,277.6693,277.84702
145,2027-02-15,274.14636,276.98486,279.0542,279.78836,275.1736,279.00446,277.6684,278.47156,278.56073,274.58786,278.16196
146,2027-03-16,278.1813,278.9567,278.5922,278.05072,277.81274,279.0172,279.0157,279.6628,280.46307,277.87372,279.83914
147,2027-04-16,281.06543,280.93448,284.85248,283.06085,280.70465,282.09116,280.5812,281.48782,281.9302,278.7262,281.7134
148,2027-05-16,282.589,285.1601,284.86407,285.34738,283.6328,283.9247,283.4925,283.5084,283.68457,283.25037,285.77563
149,2027-06-16,288.01572,287.6555,288.92166,289.3921,289.97495,287.35684,287.98184,290.44998,288.02438,286.987,288.2688
150,2027-07-16,290.23865,291.11252,291.958,293.73914,292.24994,291.5126,291.31296,291.3857,291.1695,293.1747,292.30823
151,2027-08-16,291.53506,291.81128,292.75067,293.527,292.8591,293.1174,291.84558,291.5025,292.51907,292.9675,291.262
152,2027-09-16,289.4884,289.31796,290.557,290.34033,291.14462,290.01962,289.94388,291.05792,289.5047,292.62982,290.3214
153,2027-10-16,286.4244,285.7999,287.12897,286.74072,287.66412,286.35922,285.08655,286.29413,287.1754,286.10944,286.2068
