,time,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1
169,2029-02-15,279.2154,279.51566,278.16833,277.094,279.2673
170,2029-03-16,279.21823,279.7408,281.34354,276.5412,279.20367
171,2029-04-16,282.35764,283.3072,281.98642,280.99332,282.08313
172,2029-05-16,285.3731,284.12488,285.6263,284.85583,283.40128
173,2029-06-16,287.98926,287.1996,287.5837,286.31662,287.3313
174,2029-07-16,289.8919,291.43362,291.7848,290.82553,290.61813
175,2029-08-16,290.1818,291.5005,291.55475,290.46655,290.4292
176,2029-09-16,287.8626,289.73526,287.3699,286.61102,288.42
177,2029-10-16,284.69797,284.39072,283.64636,283.6182,284.39407
178,2029-11-16,282.30847,282.05652,281.18195,280.8004,282.19586
179,2029-12-16,280.0589,279.8181,279.0067,278.2699,277.9003
180,2030-01-16,278.51544,276.7227,277.8634,274.59796,276.21008
181,2030-02-15,278.00943,277.75336,276.4774,276.56833,276.54382
182,2030-03-16,280.0146,277.15378,278.03036,279.09335,278.75064
183,2030-04-16,281.7002,281.37686,281.0872,280.41855,280.60083
184,2030-05-16,284.6734,284.126,284.1014,284.0067,284.63828
185,2030-06-16,286.645,287.83356,286.5827,288.6481,290.57104
186,2030-07-16,290.2057,289.28122,289.44748,291.35242,290.74286
187,2030-08-16,291.55066,289.863,292.2655,292.4788,290.47568
188,2030-09-16,288.3244,287.77438,286.39,288.44925,288.64597
189,2030-10-16,284.48138,284.50595,284.9134,285.5503,285.64096
190,2030-11-16,281.20612,281.44525,282.07718,283.40903,282.81537
191,2030-12-16,279.76935,278.2444,279.9878,277.37537,277.75076
192,2031-01-16,278.41562,276.0773,279.95935,276.33847,277.28128
193,2031-02-15,277.82816,276.62543,278.62555,275.01358,277.0543
194,2031-03-16,279.00836,278.1005,278.96082,277.3211,279.66446
195,2031-04-16,281.0973,280.52948,282.01147,281.2967,281.52948
196,2031-05-16,283.9559,284.1101,284.13885,285.80368,285.06152
197,2031-06-16,288.9096,289.08032,289.0081,289.2246,287.78842
198,2031-07-16,292.14026,290.43674,289.08487,293.0727,289.4737
199,2031-08-16,292.2469,290.44724,289.0851,290.66916,291.43512
200,2031-09-16,288.87372,287.64478,286.3638,287.77994,287.85364
201,2031-10-16,286.03937,285.18896,284.16922,285.736,282.94525
202,2031-11-16,282.46875,282.2479,281.33752,283.64032,279.3586
203,2031-12-16,281.36005,279.73734,278.3844,278.29587,279.19324
204,2032-01-16,277.83215,276.82895,277.51544,278.3787,279.57816
205,2032-02-15,277.40646,277.11597,277.7282,280.43094,277.70465
206,2032-03-16,279.78064,279.68787,279.61224,279.4162,277.56256
207,2032-04-16,281.58496,280.89423,282.25195,281.89737,281.7106
208,2032-05-16,284.78665,284.69952,284.34476,285.163,283.64304
209,2032-06-16,288.29288,286.81305,287.05698,288.4341,289.0361
210,2032-07-16,291.92645,290.84775,290.7906,290.77512,290.2422
211,2032-08-16,291.57858,290.55353,291.01074,290.0416,289.85498
212,2032-09-16,289.25885,287.22604,288.6267,288.2539,287.14792
213,2032-10-16,284.4145,284.8131,283.5651,283.71033,284.97095
214,2032-11-16,282.01303,280.2199,281.17496,280.49243,281.26434
215,2032-12-16,278.56015,279.39172,279.7833,276.99512,278.81793
216,2033-01-16,276.26862,278.97787,279.0876,277.34232,279.65396
217,2033-02-15,278.97003,279.3434,280.13657,277.83298,278.7261
218,2033-03-16,279.31207,280.32373,280.2508,277.75528,280.09592
219,2033-04-16,282.0894,281.26328,281.8447,282.31223,280.4268
220,2033-05-16,284.2252,286.0384,284.7405,284.9212,284.351
221,2033-06-16,287.81183,286.4139,287.46225,287.69327,287.15125
222,2033-07-16,291.26855,290.86038,290.6141,289.56915,289.63803
223,2033-08-16,291.4023,291.83362,291.43045,291.20245,290.05637
224,2033-09-16,287.79315,288.5026,286.75757,290.28314,288.59113
225,2033-10-16,284.8737,284.05154,284.21048,283.8801,285.04153
226,2033-11-16,283.55228,280.5735,281.92276,282.5901,282.43692
227,2033-12-16,281.14688,278.90707,277.22617,276.93896,281.56937
228,2034-01-16,277.53525,279.46616,280.3449,277.81348,278.03937
229,2034-02-15,280.1603,279.5743,279.95612,279.03537,276.8065
230,2034-03-16,280.2627,278.7684,279.85605,279.6747,278.8127
231,2034-04-16,281.3992,280.86264,282.81067,281.43213,280.87296
232,2034-05-16,284.4924,285.37424,285.11713,284.9258,283.83835
233,2034-06-16,289.94336,291.4054,288.51154,288.8312,286.9223
234,2034-07-16,293.68512,292.7165,290.9348,291.06586,291.13037
235,2034-08-16,291.52582,291.6852,294.29486,289.33755,290.5134
236,2034-09-16,288.9054,288.03534,291.03918,287.88727,288.65262
237,2034-10-16,286.26968,283.97513,285.21182,284.80518,285.25412
238,2034-11-16,281.97385,280.2396,280.78604,281.04626,280.9663
239,2034-12-16,279.0015,277.80405,278.1591,277.8892,279.85223
240,2035-01-16,279.4033,279.89343,278.8805,280.0602,277.55896
241,2035-02-15,279.19485,276.9066,279.01797,278.82663,277.04468
242,2035-03-16,278.24893,279.33694,280.6676,282.19724,279.14587
243,2035-04-16,280.71643,281.5895,281.4907,282.13907,281.26312
