,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
190,2030-11-16,282.0698,281.78958,283.39902
191,2030-12-16,281.8898,278.39542,280.23795
192,2031-01-16,280.14005,279.84442,278.08386
193,2031-02-16,278.83432,278.54678,277.4005
194,2031-03-16,280.50644,278.82727,279.8755
195,2031-04-16,282.41135,280.07095,282.34488
196,2031-05-16,283.94196,283.1786,285.2676
197,2031-06-16,288.80392,285.98755,287.32278
198,2031-07-16,292.26486,291.56015,291.75522
199,2031-08-16,292.29144,291.88766,290.7981
200,2031-09-16,290.93045,290.6708,287.88776
201,2031-10-16,285.2166,286.24298,285.19525
202,2031-11-16,280.3384,282.02368,282.36133
203,2031-12-16,281.58475,280.38153,279.78384
204,2032-01-16,279.0606,279.515,278.90207
205,2032-02-16,280.04794,276.78333,278.3183
206,2032-03-16,279.69492,279.2731,281.1006
207,2032-04-16,280.9776,281.2341,283.22485
208,2032-05-16,283.34427,285.06104,287.03223
209,2032-06-16,288.73044,289.338,288.60526
210,2032-07-16,292.68124,292.1357,291.52557
211,2032-08-16,291.5628,292.45706,292.96255
212,2032-09-16,289.72205,290.9827,291.05685
213,2032-10-16,287.32828,286.0909,287.9059
214,2032-11-16,282.59692,281.27606,283.96878
215,2032-12-16,280.1217,282.10104,282.24643
216,2033-01-16,277.6188,279.04916,281.05444
217,2033-02-16,279.91116,275.81284,281.93243
218,2033-03-16,279.54922,281.23672,279.3441
219,2033-04-16,283.4716,279.25974,280.64728
220,2033-05-16,283.38498,282.82086,285.40082
221,2033-06-16,289.136,288.17404,290.46246
222,2033-07-16,291.2832,289.66797,291.99832
223,2033-08-16,291.54703,291.16403,291.199
224,2033-09-16,290.50937,289.6399,291.02408
225,2033-10-16,287.9228,287.7308,285.35464
226,2033-11-16,281.74835,282.07938,279.36945
227,2033-12-16,278.75153,280.66354,280.03787
228,2034-01-16,278.90195,280.41925,281.09302
229,2034-02-16,277.13846,279.36896,279.94632
230,2034-03-16,279.4311,281.4064,280.80646
231,2034-04-16,282.59998,282.1707,281.26477
232,2034-05-16,284.70248,287.88672,284.64932
233,2034-06-16,289.28055,289.80295,287.24115
234,2034-07-16,291.8057,293.52325,291.98865
235,2034-08-16,291.74634,291.59775,293.45142
236,2034-09-16,291.1483,290.41116,290.55377
237,2034-10-16,288.27664,287.4665,287.36847
238,2034-11-16,283.4744,282.2972,283.439
239,2034-12-16,280.4131,281.18774,278.854
240,2035-01-16,280.13193,280.75684,278.97562
241,2035-02-16,282.49164,278.61835,278.191
242,2035-03-16,280.7329,281.9303,279.24408
243,2035-04-16,283.22946,282.57547,282.46234
244,2035-05-16,284.81107,285.9379,285.44928
245,2035-06-16,289.18735,287.17847,288.78848
246,2035-07-16,290.5328,292.2017,293.05807
247,2035-08-16,291.2089,292.09583,292.13745
248,2035-09-16,291.95197,291.76553,289.4883
249,2035-10-16,288.49167,288.46246,288.4228
250,2035-11-16,284.27618,283.53033,282.4484
251,2035-12-16,280.68634,282.1458,279.6379
252,2036-01-16,280.7345,279.4279,278.01
253,2036-02-16,278.94043,279.406,277.39694
254,2036-03-16,280.94244,279.29694,280.96988
255,2036-04-16,283.231,280.95547,282.24255
256,2036-05-16,285.5469,285.56366,284.9666
257,2036-06-16,288.4454,289.18594,287.67838
258,2036-07-16,291.84372,291.599,291.33377
259,2036-08-16,292.65604,292.08212,291.4071
260,2036-09-16,292.25845,291.39105,287.94534
261,2036-10-16,289.26755,287.10046,284.1957
262,2036-11-16,283.96332,283.5682,281.56232
263,2036-12-16,281.31403,282.41464,280.525
264,2037-01-16,279.97678,279.80743,279.48285
265,2037-02-16,280.64066,278.24826,279.08972
266,2037-03-16,279.30814,279.88605,280.88913
267,2037-04-16,281.63422,281.05737,280.86246
268,2037-05-16,284.78934,285.02695,284.89706
269,2037-06-16,292.55167,288.42697,289.46838
270,2037-07-16,292.03656,292.42017,292.61618
271,2037-08-16,292.48743,292.76743,292.28168
272,2037-09-16,291.5953,292.32462,289.6423
273,2037-10-16,288.70282,287.06726,286.11234
274,2037-11-16,284.81232,283.2072,281.7641
275,2037-12-16,283.34033,281.23654,280.9609
276,2038-01-16,280.74268,277.75983,279.87286
277,2038-02-16,277.09113,277.73685,278.5754
278,2038-03-16,280.49536,278.7976,279.23068
279,2038-04-16,281.9274,279.30798,282.63715
280,2038-05-16,284.53116,282.2542,286.7692
281,2038-06-16,290.68094,287.43127,288.36096
282,2038-07-16,291.89026,290.37717,290.49347
283,2038-08-16,292.6256,291.3879,291.2968
284,2038-09-16,291.83844,290.91983,289.96817
285,2038-10-16,286.12976,289.47995,284.29697
286,2038-11-16,281.28745,284.10983,281.30658
287,2038-12-16,278.93912,281.71704,281.0503
288,2039-01-16,275.6498,279.65317,280.18246
289,2039-02-16,278.71503,279.65674,282.23807
290,2039-03-16,279.59985,280.83698,281.90186
291,2039-04-16,281.99646,282.6011,284.63495
292,2039-05-16,285.09088,287.8071,285.5818
293,2039-06-16,288.5531,289.16525,287.34042
294,2039-07-16,290.85663,290.95282,292.93225
